id,category,subcategory,name,vendor,url,price,purpose,features,target_use,caveats,related_article,priority,source,notes,audience,affiliate_url
repel-001,撃退忌避,スプレー,フロンティアーズマン マックス ベアスプレー 234mL,SABRE / モンベル取扱,https://webshop.montbell.jp/goods/disp.php?product_id=1899175,"¥12,100",クマ遭遇時の至近距離防御（最終手段）,熊撃退成分配合、携行しやすいサイズ、EPA認証、噴射距離12m,登山、キャンプ、釣り、狩猟,市街地での不要携行は避ける。風向き・射程・誤噴射に注意。航空機持込不可,https://kuma-watch.jp/articles/bear-spray,高,両方,モンベル取扱で認知高,"個人,自治体",
repel-002,撃退忌避,スプレー,フロンティアーズマン マックス ベアスプレー 272mL,SABRE / モンベル取扱,https://webshop.montbell.jp/goods/disp.php?product_id=1899176,"¥13,200",クマ遭遇時の至近距離防御（大容量）,12m長距離噴射、大容量、7〜8秒噴射、EPA認証,ヒグマ地域、山奥作業、キャンプ,航空機持込不可。ホルスター併用推奨,https://kuma-watch.jp/articles/bear-spray,高,両方,北海道向け推奨／URL修正済,"個人,自治体",
repel-003,撃退忌避,スプレー,熊撃退スプレー カウンターアソールト CA230,Counter Assault (USA) / モチヅキ・アウトバック輸入,https://e-mot.co.jp/counter-assault/,"¥20,000前後",クマ遭遇時の至近距離防御,唐辛子エキスを5〜10m噴射、カプサイシン2%、EPA登録、有効期限5年、知床財団・道警採用,北海道、東北、山林作業、業務,正規品・有効期限確認。使用訓練と即応携行が重要,https://kuma-watch.jp/articles/bear-spray,高,両方,日本の研究者・自治体採用率トップ,"個人,自治体",
repel-004,撃退忌避,スプレー,Counter Assault CA290 Stronger,Counter Assault (USA) / モチヅキ,https://outback.cup.com/counter_assault.html,"22,000〜24,200円",ヒグマ生息地のプロ向け,噴射10.5〜12m／9.2秒、290g、EPA登録、カプサイシノイド2%,ヒグマ域・業務用,航空機持込不可、正規品確認,https://kuma-watch.jp/articles/bear-spray,高,初回調査,,"個人,自治体",
repel-005,撃退忌避,スプレー,UDAP 12HP / Griz Guard / Pepper Power,UDAP Industries (USA) / UDAP認定輸入代理店,https://udap.base.shop/,"6,480〜13,000円",クマ遭遇時の至近距離防御,カプサイシノイド2%、噴射9〜11m、米国森林警備隊採用、特許Griz Guardホルスター,個人（登山・狩猟）,正規輸入品を選ぶ,https://kuma-watch.jp/articles/bear-spray,高,初回調査,コスパに優れる,"個人,自治体",
repel-006,撃退忌避,スプレー,熊一目散,バイオ科学株式会社（徳島県阿南市）,https://www.tiemco.co.jp/Form/Product/ProductDetail.aspx?shop=0&pid=1240001&bid=lurefishing&cat=001001005006,"¥9,900（本体）／¥14,080（ホルダー付）",国産クマ撃退スプレー,2025年5月発売の日本初純国産。酪農学園大学・佐藤喜和教授との共同開発（3年間開発・特許出願中）、カプサイシン2%以上、容量280ml、噴射約10m、連続噴射約10秒、使用期限5年、対象：ヒグマ/ツキノワグマ/イノシシ/サル等。EPA性能ガイドライン準拠,個人・農林業,海外製品と同等性能で安価。TIEMCO・モノタロウ・好日山荘等で取扱,https://kuma-watch.jp/articles/bear-spray,高,初回調査,国産唯一の本格スプレー／情報修正済,"個人,自治体",
repel-007,撃退忌避,スプレー,POLICE MAGNUM B-609／B-610,POLICE MAGNUM (USA),https://www.amazon.co.jp/,数千円,対人催涙スプレー（参考）,容量小、EPA基準は満たさず実質「対人催涙スプレー」。複数国公立機関採用品/JSDPA認定品を称するが、専門家は熊用としては非推奨,—,専門家は熊対策としては非推奨。誤情報注意喚起の対象,https://kuma-watch.jp/articles/bear-spray,低,初回調査,記事内で注意喚起すべき,"個人,自治体",
repel-008,撃退忌避,練習用品,フロンティアーズマン プラクティススプレー 234mL,SABRE / モンベル取扱,https://webshop.montbell.jp/goods/disp.php?product_id=1899164,"¥4,800",スプレー噴射の練習,刺激成分なしの練習用スプレー、本番と同じ重量・操作感,初心者、団体研修、自治体研修,本番用と混同しないよう保管管理,https://kuma-watch.jp/articles/bear-spray,中,添付,研修・教育コンテンツに最適／URL修正済,"個人,自治体",
repel-009,撃退忌避,携行補助,ベルトホルスター（フロンティアーズマン用）,SABRE / モンベル取扱,https://webshop.montbell.jp/goods/disp.php?product_id=1899178,"¥1,900",ベアスプレーを即座に取り出す,フロンティアーズマン用ホルスター、腰・胸元装着,ベアスプレー携行時,ザック内では間に合わないため腰・胸元へ,https://kuma-watch.jp/articles/bear-spray,高,添付,スプレーとセット販売推奨,個人,
repel-010,撃退忌避,クマ鈴,トレッキングベル スクエア サイレント モンタベア,モンベル,https://webshop.montbell.jp/goods/disp.php?product_id=1134332,"¥1,700",人の存在を知らせる,カラビナ付き、マグネットで消音可能、44g,登山、山菜採り、渓流釣り,単独行・見通しの悪い場所で有用。過信せず周囲確認を併用,https://kuma-watch.jp/articles/bear-bell,高,両方,消音機能つきの定番,個人,
repel-011,撃退忌避,クマ鈴,トレッキングベル ラウンド サイレント,モンベル,https://webshop.montbell.jp/goods/disp.php?product_id=1134182,"¥2,800",人の存在を知らせる,大きく高い音、消音機能、90g,登山、山林作業,バス・電車では消音して迷惑防止,https://kuma-watch.jp/articles/bear-bell,高,添付,大音量モデル,個人,
repel-012,撃退忌避,クマ鈴,Bear Bell,CHUMS,https://www.chums.jp/goods/CH61-1173-Z030-00,"¥1,320前後",人の存在を知らせる,カラフルなベアベル、消音機能付き,ライトハイク、キャンプ,ファッション性重視。音量・音質は使用前確認,https://kuma-watch.jp/articles/bear-bell,中,両方,,個人,
repel-013,撃退忌避,クマ鈴,Magic Bear Bell,ハイマウント,https://www.amazon.co.jp/,"1,000円台",消音機能付きクマ鈴,消音マグネット内蔵,個人,,https://kuma-watch.jp/articles/bear-bell,中,初回調査,,個人,
repel-014,撃退忌避,クマ鈴,森の鈴 BEAR BELL カバー付 TBKC1,東京ベル,https://yamatabitabi.com/archives/113900,"1,000円台",消音機能付きクマ鈴,カバー消音、軽量,個人,,https://kuma-watch.jp/articles/bear-bell,中,初回調査,,個人,
repel-015,撃退忌避,ホイッスル,チタニウムエマージェンシーホイッスル,Vargo / モンベル取扱,https://webshop.montbell.jp/goods/disp.php?product_id=3722015,"¥2,420",大きな音で存在や位置を知らせる,チタン製、3g、100dB,登山、遭難対策、沢筋,常時すぐ使える位置に装着,https://kuma-watch.jp/articles/weapons,高,添付,軽量・遭難対策兼用,個人,
repel-016,撃退忌避,ホイッスル,エマージェンシーコール,モンベル,https://webshop.montbell.jp/goods/disp.php?product_id=1124247,¥770,緊急用ホイッスル,大きく明瞭な音が出せる緊急用ホイッスル,登山、キャンプ、防災,軽量なので予備として複数携行しやすい,https://kuma-watch.jp/articles/weapons,中,添付,エントリーモデル,個人,
repel-017,撃退忌避,ホーン,フロンティアーズマン ベアホーン 130dB,SABRE / モンベル取扱,https://webshop.montbell.jp/goods/disp.php?product_id=1899177,"¥3,400",大音量で存在を知らせ不意の遭遇を避ける,130dB、805m先まで音が届く、86.2g,山林作業、釣り、キャンプ,攻撃態勢のクマを抑制する用途ではない,https://kuma-watch.jp/articles/weapons,高,両方,スプレー+ホーンのセット推奨,"個人,自治体",
repel-018,撃退忌避,ホーン,熊よけホーン 110dB 充電式,コンパル,https://www.amazon.co.jp/,"2,000〜3,000円",大音量警告,カラビナ付き、USB-C充電、110dB,個人,電池切れ注意,https://kuma-watch.jp/articles/weapons,中,初回調査,,"個人,自治体",
repel-019,撃退忌避,ホーン,アニマルガードライト H-D32,センター商事,https://www.value-press.com/pressrelease/364913,"6,000円台",撃退複合（音＋超音波＋光）,110dB銃声音＋25kHz超音波＋LED、効果範囲約15m、USB-C充電,個人・農林業,,https://kuma-watch.jp/articles/weapons,中,初回調査,,"個人,自治体",
repel-020,撃退忌避,忌避剤,熊をぼる（旧・熊にげる）,電脳アシスト／壱岐産業（青森）,https://www.dennouassist.co.jp/agriculture/kumaoboru,"1,000mlで数千円",農地・住宅周辺の忌避,ブートジョロキア＋木酢液／籾殻燻炭液。青森自治体で「ほぼ100%忌避効果」、東大名誉教授・谷田貝光克氏指導,農林業・自治体,雨で流れるため定期再散布,https://kuma-watch.jp/articles/home-protection,中,初回調査,国産で実績データあり,"個人,自治体",
repel-021,撃退忌避,忌避剤,ウルフピー,クラーク、カナエ等輸入,https://www.klark.co.jp/product/2585/,100ccで数千円,天敵の尿による忌避,100%オオカミ尿、3〜6m間隔で設置,農林業・家庭,揮発するため定期交換,https://kuma-watch.jp/articles/home-protection,中,初回調査,,"個人,自治体",
repel-022,撃退忌避,忌避剤,木酢液,日本木酢液協会認証各社,https://www.nihonmokusaku.jp/faq/,"〜1,500円",一般忌避,一般忌避用途、効果は限定的（揮発しやすい）,家庭,効果疑問の俗信。記事で検証対象,https://kuma-watch.jp/articles/bear-myths,低,初回調査,,"個人,自治体",
repel-023,撃退忌避,忌避剤,撃退クマ（激辛臭シート 5枚入り）,株式会社プラスリブ,https://www.amazon.co.jp/dp/B0DGZQ4Q4Y,"1,200〜1,500円",激辛臭マイクロカプセルで誘引防止,激辛成分マイクロカプセル封入、効果約1年持続。シカ・イノシシにも有効,家庭・農地・倉庫周辺,直射日光・雨で効果低下。設置箇所要工夫,https://kuma-watch.jp/articles/home-protection,中,初回調査,長期持続型シートとして手軽,"個人,自治体",
repel-024,撃退忌避,接近戦装備,山菜採りポール 熊撃退（特許第7820785号）,原生林の熊工房,https://genseirinnok.thebase.in/items/98716579,"15,000〜25,000円前後",最終遭遇時の防御ポール（特許製品）,全長170cm／重量655g以下／突起物15cm未満（銃刀法非該当）／本革刃先カバー付。山菜・きのこ採り経験者設計、プロ/ハイグレード/カスタム等ラインナップ,山菜採り、林業、測量、自然体験施設,鉈・ナイフより接近戦リスク低いが万能ではない。あくまで最終手段,https://kuma-watch.jp/articles/weapons,中,初回調査,銃刀法非該当の数少ない熊対策武器。新規カテゴリ,個人,
monitor-001,監視検知,自治体AI検知,Bアラート,株式会社ほくつう／北陸電力新価値創造研究所／ガルム,https://news.mynavi.jp/techplus/article/20250808-3400974/,自治体導入価,AIカメラ＋防災行政無線自動連携,富山市で2025年7月22日実証開始、全国初の自動連携、新バージョン検出正答率99.9%,自治体,導入は自治体予算ベース,https://kuma-watch.jp/for-gov,中,初回調査,自治体提携の第一候補,自治体,
monitor-002,監視検知,自治体AI検知,ハイクワークス＋ハイクカム,株式会社ハイク (NTTアグリテクノロジー),https://www.ntt-agritechnology.com/ec/hykecam/,"カメラ4〜10万＋年9,900円",IoTトレイルカメラ＋クラウドAI判別,IoT自動撮影＋クラウドAI判別、市町村向けProライセンス6ヶ月無償キャンペーン実績,自治体・農家,通信費別,https://kuma-watch.jp/for-gov,中,初回調査,NTT系で信頼性高,自治体,
monitor-003,監視検知,自治体AI検知,クマミるAI（農CAM Tiida）,株式会社アイムービック／Core-Support,https://www.eyemovic.com/solution/kumamiru/,"月額3,850円〜",AI判別＋LINE通知,SIM+ソーラー、LINEグループ通知、地図可視化、防災無線テンプレ自動生成、北海道3ヶ月実証成功、TV・新聞報道多数,自治体・農家,,https://kuma-watch.jp/for-gov,中,初回調査,URL正規化済,自治体,
monitor-004,監視検知,自治体AI検知,Face Bear,ダイワ通信,https://xtech.nikkei.com/atcl/nxt/news/18/16185/,"月額24,800円／カメラ（税別）",AI検知レンタル,レンタル提供、スマホ通知、AI約5万枚画像学習,自治体,,https://kuma-watch.jp/for-gov,中,初回調査,,自治体,
monitor-005,監視検知,自治体AI検知,熊検知AI（スマートベア対応特設ページ）,トリニティー4e,https://www.trinity4e.com/ai/bear-detection/index.html,"月額14,000円〜",DIY設置のAIカメラ,DIY設置可、SIMルーター同梱、2025年12月「スマートベア」（学習回避個体）特設ページ公開,自治体・農家,,https://kuma-watch.jp/for-gov,中,初回調査,中小自治体向けエントリー,自治体,
monitor-006,監視検知,自治体AI検知,AIMERA® クマ検知ソリューション,株式会社Rist（京都）,https://www.rist.co.jp/,"初期98,000円＋月額10,000円",AI検知（API連携対応）,自社AIカメラ、誤検知最小化、4K赤外線、API連携、2026年春完成予定,自治体・農家,2026年春完成予定,https://kuma-watch.jp/for-gov,中,初回調査,API連携可で技術的に親和性高,自治体,
monitor-007,監視検知,自治体AI検知,AI Bridge クマ検知機能,アイタス・ジャパン,https://www.itus.jp/,要問合せ,既存カメラへのAI後付け,既存ONVIFカメラに後付け、検知率最大99%、2025年12月発表,自治体・施設管理者,,https://kuma-watch.jp/for-gov,中,初回調査,既存カメラ流用可,自治体,
monitor-008,監視検知,自治体AI検知,NVR-Pro TypeH ＋AXIS D4100-VE Mk II,システム・ケイ／Axis Communications,https://www.system-k.co.jp/,要問合せ,エッジAI＋追払い連動,Hailo-8 AIアクセラレータ、YOLO検知、ストロボサイレン連動,自治体・施設,,https://kuma-watch.jp/for-gov,低,初回調査,,自治体,
monitor-009,監視検知,自治体AI検知,SENTINEL（センチネル）,株式会社Aisometry（東京大学・会津大学発スタートアップ）,https://fastbear.aisometry.com/,要問合せ,市街地侵入早期察知AIカメラ,低コスト検知網整備、画像付き確度の高い一次情報、FASTBEARとリアルタイム連携、経産省「未踏的な地方の若手人材発掘育成支援事業」採択,自治体・施設管理者,2025年12月発表（開発中）,https://kuma-watch.jp/for-gov,中,初回調査,FASTBEARとセット運用前提,自治体,
monitor-010,監視検知,AI予測,クマ遭遇AI予測マップ,上智大学 深澤研究室（深澤佑介准教授）,https://fukazawa-lab.github.io/japan-bear-map/,無料公開,出没履歴＋環境データから遭遇リスクを地図化,過去出没＋人口分布＋気象＋標高＋ブナの実豊凶等を機械学習。秋田県で2023年度を約60%精度で再現、東京都・札幌市など全国18自治体対応、1km四方メッシュ,自治体・住民・登山者,予測対象外メッシュあり。山奥は予測外,https://kuma-watch.jp/for-gov,高,初回調査,学術連携・記事監修候補,非表示,
monitor-011,監視検知,AI予測,クマ遭遇リスクマップ,日本気象株式会社（大阪市）,https://n-kishou.com/corp/news/contents/news250828/,法人向け,本州全域250mメッシュのAIリスクマップ,2025年8月発表。ツキノワグマ分布域の本州全域を250mメッシュ高解像度で評価、出没未把握地域も周辺環境類似性から推定,自治体・法人,商業利用は要問合せ,https://kuma-watch.jp/for-gov,中,初回調査,商業AIマップとして競合・補完候補,非表示,
monitor-012,監視検知,トレイルカメラ,MCS-H881 トレイルカメラ,INFINITE GRA,https://infinitegra.co.jp/cam/trailcam/,要見積/販売店確認,出没確認・記録,人や動物の熱を感知して自動撮影,農地、山林、資材置き場,撮影範囲・電池・SDカード・盗難対策を確認,https://kuma-watch.jp/articles/bear-tracks,中,添付,国内メーカー,"個人,自治体",
monitor-013,監視検知,トレイルカメラ,TREL 4Gシリーズ 通信型トレイルカメラ,ハイク / 鳥獣被害対策ドットコム取扱,https://www.choujuhigai.com/blog02/animal-surveillance-camera,要見積/販売店確認,遠隔で出没を把握,乾電池駆動、動体検知、4G通信で画像送信,農地、山林、自治体、事業者,通信費・電波状況・通知設定を確認,https://kuma-watch.jp/articles/bear-tracks,中,両方,4G通信モデル,"個人,自治体",
monitor-014,監視検知,トレイルカメラ,ハイクカム LT+／LT4G／SP3／CL4G,ハイク（NTTアグリテクノロジー）,https://hyke-store.com/,4〜10万円,IoTトレイルカメラ,IoTトレイルカメラ、SIM通信、4G、白色LED,自治体・農家・個人,,https://kuma-watch.jp/articles/bear-tracks,中,初回調査,,"個人,自治体",
monitor-015,監視検知,トレイルカメラ,Bushnell トロフィーカム XLT 32MP NoGlow,Bushnell (USA),https://www.bushnell.com/,"25,000〜50,000円",個人向けトレイルカメラ,業界スタンダード、ノーグロー赤外線,個人・農家,,https://kuma-watch.jp/articles/bear-tracks,中,初回調査,定番モデル,"個人,自治体",
monitor-016,監視検知,トレイルカメラ,Ltl Acorn 6210MC,Ltl Acorn／キャムズ取扱,https://www.choujuhigai.com/c/TrailCamera,1〜5万円,中価格帯トレイルカメラ,広角・ローグロー,個人・農家,,https://kuma-watch.jp/articles/bear-tracks,低,初回調査,,"個人,自治体",
monitor-017,監視検知,撃退装置,モンスターウルフ,株式会社太田精器（製造）／株式会社ウルフ・カムイ（販売総代理店）,https://www.wolfkamuy.com/,"本体40万円台〜、一式60万円強。月額レンタル23,100円〜。ふるさと納税1,850,000円",オオカミ型LED野生動物撃退装置,約90dB＋60種以上の音声、半径約1km。北大・東京農大共同研究、全国300台超販売実績、2027年度自走式「ウルフムーバー」（スズキ・ドコモ連携）実用化予定,農家・自治体,設置工事・電源・ソーラーパネル必要,https://kuma-watch.jp/articles/electric-fence,中,初回調査,国産代表撃退装置、メーカー提携候補,自治体,
monitor-018,監視検知,撃退装置,モンスターウルフミニ,太田精器,https://www.wolfkamuy.com/,1万円台予定,携帯型撃退装置,携帯型、全長20cm、200m先まで威嚇音、2026年度発売予定,個人・農家,2026年度発売予定,https://kuma-watch.jp/articles/weapons,高,初回調査,個人ユーザー向け連携優先度高,"個人,自治体",
monitor-019,監視検知,撃退装置,獣用心棒 KMN-3KUMA,協和テクノ,https://www.kyowatecno.com/SHOP/KY0007.html,受注生産,クマ特化撃退装置,16種類音声（銃声・爆発音・猟犬・人声）＋360度キセノンストロボ、100dB可調、ランダム自動運転,農家・自治体,,https://kuma-watch.jp/for-gov,中,初回調査,,自治体,
monitor-020,監視検知,撃退装置,アニマルリペラー（超音波系）,各社輸入品,https://store.shopping.yahoo.co.jp/hm6/st628-003.html,数千〜2万円,家庭用超音波撃退,超音波＋ストロボ、家庭用,家庭,効果は限定的,https://kuma-watch.jp/articles/home-protection,低,初回調査,,自治体,
monitor-021,監視検知,撃退装置,鳥獣害対策ドローン BB102（Bird & Beast 102）,株式会社NTT e-Drone Technology（地域総研「クルナムーブ」搭載）,https://www.nttedt.co.jp/post/bb102-20250930,オープンプライス（神奈川県約330万円、講習費含む）,国内初レーザー忌避ドローン,赤・緑レーザー忌避（スペックルノイズ導入）＋自動航行＋FPV。最大飛行25分、対象：カラス・イノシシ・シカ等。2025年10月1日発売、2026年中にクマ向け実証実験、千葉県補助対象,自治体・農家・畜産業,目視外飛行不可、講習必須,https://kuma-watch.jp/articles/weapons,中,初回調査,NTT系の最先端技術。クマ対応は今後,自治体,
monitor-022,監視検知,撃退装置,スリーアイバード ドローンAI解析システム,株式会社スリーアイバード（秋田県五城目町）,https://3i-bird.com/,寄付・協賛募集中,ドローン＋AI早期発見・追跡・位置情報共有,2025年11月21日寄付・協賛募集開始、自治体向けクマ早期発見システム,自治体,2025年11月開発段階,https://kuma-watch.jp/for-gov,中,初回調査,東北発スタートアップ。秋田に強み,自治体,
fence-001,防護柵,電気柵,クマ用 2重張り トリップ式 電気柵,末松電子製作所,https://www.getter.co.jp/product_info28.html,要見積/販売店確認,クマ侵入防止,内側4段＋外側1段の電気柵構成,果樹園、養蜂場、畑,草刈り・漏電確認・電圧管理が必須,https://kuma-watch.jp/articles/electric-fence,高,両方,クマ専用設計の決定版,"個人,自治体",
fence-002,防護柵,電気柵,電気柵本器・資材一式,末松電子製作所,https://www.getter.co.jp/,要見積/販売店確認,害獣侵入防止の基本設備,"電気牧柵器・支柱・電線など。DC10,000V、ソーラー対応",農地、林縁部、事業者,対象動物に応じた段数・高さ設計が必要,https://kuma-watch.jp/articles/electric-fence,高,両方,電気柵記事から直接リンク可,"個人,自治体",
