id,category,subcategory,name,vendor,url,price,purpose,features,target_use,caveats,related_article,priority,source,notes,audience,affiliate_url
fence-003,防護柵,電気柵,雷電2000,末松電子製作所,https://www.suematsu-d.co.jp/,"約38,500円",大型獣対応電気柵,"大型獣対応、屋外完全防雨型、最大電線長8,000m",農家・自治体,,https://kuma-watch.jp/articles/electric-fence,高,初回調査,,"個人,自治体",
fence-004,防護柵,電気柵,AP-2011／AP-2011-SR,アポロ電気柵,https://www.apollo-jp.com/,2万円台〜,クマ対応電気柵,ソーラーセット、クマ用3段張り,農家・家庭,,https://kuma-watch.jp/articles/electric-fence,高,初回調査,,"個人,自治体",
fence-005,防護柵,電気柵,アニマルガード（家庭用セット）,ナフコ,https://nafco-online.com/products/list.php?category_id=50703,4〜8万円,家庭〜中規模農地向け,家庭〜中規模農地,家庭・小規模農家,,https://kuma-watch.jp/articles/electric-fence,中,初回調査,,"個人,自治体",
fence-006,防護柵,電気柵,アニマルバスター NSD-5,ニシデン,https://www.nishiden.co.jp/,要問合せ,クマ用電気柵,クマ用3段張り対応,農家,,https://kuma-watch.jp/articles/electric-fence,中,初回調査,,"個人,自治体",
fence-007,防護柵,電気柵,エゾシカ・ヒグマ用電気柵,ファームエイジ（北海道）,https://www.farmage.co.jp/,要問合せ,北海道仕様電気柵,北海道のパイオニア、知床財団も採用,農家・自治体（北海道）,,https://kuma-watch.jp/articles/hokkaido-bears,中,初回調査,北海道向けで権威性高,"個人,自治体",
fence-008,防護柵,物理柵,アニマルフェンス / ワイヤーメッシュ,各社,https://www.monotaro.com/s/c-123942/,"¥5,000〜/設置規模次第",物理的な侵入抑制,金網・ワイヤーメッシュ柵,畑、家庭菜園、敷地境界,クマには電気柵併用を検討。隙間・倒壊に注意,https://kuma-watch.jp/articles/electric-fence,中,添付,電気柵と併用推奨,"個人,自治体",
fence-009,防護柵,ベアキャニスター,BearVault BV500 Journey,BearVault,https://dyntcoyote.com/products/bv-500,"¥17,000〜¥25,000前後",食料を野生動物から守るキャニスター,容量11.5L、約7日分の食料向け,縦走、キャンプ、海外トレイル,日本では使用義務地域は少ないが食料管理に有効,https://kuma-watch.jp/articles/bear-canister,高,両方,フードコンテナ記事から直接リンク,個人,
fence-010,防護柵,ベアキャニスター,BearVault BV450 Jaunt,BearVault,https://www.bearvault.com/product/bv450-jaunt/,"¥15,000〜¥22,000前後",短期用の食料保管キャニスター,小型のベアキャニスター,短期キャンプ、ソロ登山,容量不足に注意。食品以外の匂い物も入れる,https://kuma-watch.jp/articles/bear-canister,中,両方,,個人,
fence-011,防護柵,ベアキャニスター,Counter Assault Bear Keg,Bushwacker Backpack & Supply,https://karaage.info/3004/,"15,000〜20,000円",キャニスター型食料保管,キャニスター型、コイン式、アウトバック輸入,個人,,https://kuma-watch.jp/articles/bear-canister,中,初回調査,,個人,
fence-012,防護柵,フードバッグ,Ursack Major,Ursack,https://ursack.com/products/ursack-major,"¥20,000前後",食料を守るベアバッグ,軽量な耐獣害フードバッグ、ケブラー製,キャンプ、海外トレイル,木への固定方法が重要。完全防臭ではない,https://kuma-watch.jp/articles/bear-canister,中,両方,軽量装備向け,個人,
fence-013,防護柵,防臭袋,OPSAK 防臭袋,LOKSAK,https://www.loksak.com/products/opsak,"¥1,000〜¥3,000前後",食料やゴミの臭い漏れ対策,密閉式の防臭バッグ,登山、キャンプ、車中泊,破れ・閉め忘れに注意。食料管理の補助,https://kuma-watch.jp/articles/bear-canister,高,添付,匂い管理の基本装備,個人,
fence-014,防護柵,ゴミ箱,クマ対策ゴミステーション,斜里町独自設計／知床財団普及,https://readyfor.jp/projects/bearsafety/,要問合せ,北米Bear Resistant Container相当,READYFORでクラウドファンディング実施実績,自治体・コミュニティ,,https://kuma-watch.jp/articles/home-protection,中,初回調査,自治体パートナーシップの会話起点,自治体,
home-001,住宅誘引物,センサーライト,屋外用センサーライト LED-AC315,ムサシ RITEX,https://www.634634.jp/product/led-ac315/,"¥3,000〜¥6,000前後",接近に気づく・威嚇補助,屋外用LEDセンサーライト,自宅周辺、倉庫、畑入口,クマ専用ではない。誘引物除去と併用,https://kuma-watch.jp/articles/home-protection,高,添付,住宅周辺の基本装備,個人,
home-002,住宅誘引物,センサーライト,どこでもセンサーライト ASL-090,ムサシ RITEX,https://www.634634.jp/product/asl-090/,"¥2,000〜¥4,000前後",簡易照明・接近確認,電池式、設置しやすいセンサーライト,玄関、物置、ゴミ置き場,電池切れと設置角度に注意,https://kuma-watch.jp/articles/home-protection,中,添付,電池式で設置容易,個人,
home-003,住宅誘引物,密閉ストッカー,屋外用密閉ストッカー,アイリスオーヤマ等,https://www.irisplaza.co.jp/index.php?KB=SEARCH&search=%E5%B1%8B%E5%A4%96%20%E3%82%B9%E3%83%88%E3%83%83%E3%82%AB%E3%83%BC,"¥3,000〜¥15,000前後",生ゴミ・飼料・肥料の管理,密閉できる屋外収納ボックス,自宅、農地、倉庫,食べ物・生ゴミの臭いを屋外に放置しない,https://kuma-watch.jp/articles/home-protection,高,添付,誘引物管理の必需品,個人,
home-004,住宅誘引物,ゴミ管理,生ゴミ保管ボックス / ゴミステーション,各社,https://www.monotaro.com/s/q-%E3%82%B4%E3%83%9F%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3/,"¥20,000〜/規模次第",集積所の誘引物管理,カラス・獣害対策用の大型保管庫,自治会、事業所、民宿,ゴミ出し時間・清掃ルールと併用,https://kuma-watch.jp/articles/home-protection,高,添付,地域コミュニティ向け,"個人,自治体",
alert-001,警報通知,情報集約,Yahoo!防災速報 / クマ出没情報リンク,Yahoo! JAPAN,https://emg.yahoo.co.jp/notebook/contents/article/bearsummary251114.html,無料,自治体の出没情報確認,各都道府県のクマ出没情報リンク集、自治体協定でクマ情報配信,外出前、通勤通学、登山前,最新の自治体情報を確認,https://kuma-watch.jp/articles/bear-app,—,両方,KumaWatchの競合兼補完,非表示,
alert-002,警報通知,情報集約,FASTBEAR（ファストベア）,株式会社Aisometry（東京大学・会津大学発スタートアップ）,https://fastbear.aisometry.com/,無料,全国47都道府県の出没情報ダッシュボード,2025年12月公開、自治体公式発表＋ニュースをAIエージェントが自動収集、過去10年・数万件規模の詳細データ保有、SENTINELカメラ連携、産学連携データ分析基盤,自治体・研究者・住民,通知機能は今後実装予定,https://kuma-watch.jp/articles/bear-app,中,初回調査,学術連携余地大。経産省支援プロジェクト,非表示,
alert-003,警報通知,自治体公式,秋田クマダス,秋田県,https://kumadas.net/,無料,秋田県目撃情報,ArcGIS Online基盤、メール配信、野生動物情報投稿アプリ、2017年〜運用,住民・登山者,,https://kuma-watch.jp/articles/tohoku-bears,—,初回調査,KumaWatchデータソース候補,非表示,
alert-004,警報通知,自治体公式,ひぐまっぷ,ダッピスタジオ合同会社,https://higumap.info/,無料,北海道全道の目撃情報,北海道全道、市町村が導入（38市町村以上）、総務省ICT地域活性化大賞2017優秀賞,住民・登山者・自治体,,https://kuma-watch.jp/articles/hokkaido-bears,—,初回調査,北海道領域のデータ統合候補,非表示,
alert-005,警報通知,自治体公式,札幌市ヒグマ出没情報LINE,札幌市,https://www.city.sapporo.jp/kurashi/animal/choju/kuma/syutsubotsu/,無料,札幌市プッシュ通知,LINEプッシュ通知,札幌市民,,https://kuma-watch.jp/articles/hokkaido-bears,—,初回調査,,非表示,
alert-006,警報通知,自治体公式,にいがたクマ出没マップ,新潟県,https://www.pref.niigata.lg.jp/,無料,新潟県目撃情報,ArcGISダッシュボード,住民・登山者,,https://kuma-watch.jp/articles/chubu-bears,—,初回調査,,非表示,
alert-007,警報通知,自治体公式,やまがたクマっぷ,山形県,https://www.pref.yamagata.jp/,無料,山形県目撃情報,Webマップ,住民・登山者,,https://kuma-watch.jp/articles/tohoku-bears,—,初回調査,,非表示,
alert-008,警報通知,自治体公式,ツキノワグマ情報マップ,長野県,https://www.pref.nagano.lg.jp/,無料,長野県目撃情報,警報／注意報発令、Webマップ,住民・登山者,,https://kuma-watch.jp/articles/chubu-bears,—,初回調査,,非表示,
alert-009,警報通知,自治体公式,けものおと2,長野県,https://www.pref.nagano.lg.jp/shinrin/happyou/070919_press.html,無料,長野県公式アラート通知アプリ,2025年9月運用開始、App Store／Google Play配信、アラート通知＋ヒートマップ表示で出没頻度可視化,住民・登山者,長野県内対象,https://kuma-watch.jp/articles/chubu-bears,中,初回調査,自治体公式アプリの最新事例,非表示,
alert-010,警報通知,自治体公式,Bears（ベアーズ）,八幡平市（岩手県）,https://www.city.hachimantai.lg.jp/soshiki/nourin/22597.html,無料,LINEベース出没情報共有,八幡平市LINE公式アカウントから通報・共有、リアルタイム共有,住民・登山者,八幡平市域,https://kuma-watch.jp/articles/tohoku-bears,低,初回調査,LINE活用の自治体運用事例,非表示,
alert-011,警報通知,民間アプリ,くまっぷ (kumapp),株式会社Xenon（群馬県太田市）,https://kumap-xenon.web.app/,無料,全国目撃情報共有,2025年11月リリース、4カテゴリ投稿、匿名可、テナント機能、OpenAPI仕様準拠のAPI提供、IoT罠「ワナップ」連携,住民・自治体,,https://kuma-watch.jp/articles/bear-app,—,初回調査,API公開→相互連携交渉候補,非表示,
alert-012,警報通知,民間アプリ,クママップ (kumamap.com),KOCA SULEYMAN DANYEL（個人開発、東京）,https://kumamap.com/ja,無料/サービス確認,全国目撃情報共有,"累計132,313件、アクティブユーザー1,246,555人（2026年5月）、自治体公式99.7%自動スクレイピング、AIリスク予測、5,000+エリア通知",住民・登山者,情報の鮮度・出典を確認して判断,https://kuma-watch.jp/articles/bear-app,—,両方,最大の競合。実装の参考にすべき,非表示,
alert-013,警報通知,民間アプリ,くまMap,Horikiri Seiu（個人開発、埼玉）,https://apps.apple.com/jp/app/%E3%81%8F%E3%81%BEmap/id6753941948,無料,iOS／Android目撃情報,2025年11月リリース、6段階緊急度、SNS機能、自治体オープンデータ＋ユーザー投稿、Google Cloud基盤,住民,,https://kuma-watch.jp/articles/bear-app,—,初回調査,小規模競合,非表示,
capture-001,捕獲駆除,箱罠,クマ用ドラム式箱罠 HW5,栄工業（栄ヒルズ）,https://item.rakuten.co.jp/takisyo/mato0014/,要問合せ,クマ捕獲用箱罠,組立式、3分割搬入可、ゴルフ場・果樹園対応,猟友会・自治体,狩猟免許必須,https://kuma-watch.jp/articles/culling-debate,低,初回調査,,自治体,
capture-002,捕獲駆除,箱罠,ドラム式箱罠,協和テクノ,https://www.kyowatecno.jp/otheritems/drum/,要問合せ,クマ捕獲用箱罠,線材檻と異なり強度高、捕獲後の処理安全,猟友会・自治体,狩猟免許必須,https://kuma-watch.jp/articles/culling-debate,低,初回調査,,自治体,
capture-003,捕獲駆除,箱罠,ヒグマ用箱罠 Vボックス BIG,株式会社ヴィレッジロード,https://www.village-road.net/boxtrap_higuma.php,要問合せ,ヒグマ捕獲用,センサートリガー方式,猟友会・自治体（北海道）,狩猟免許必須,https://kuma-watch.jp/articles/culling-debate,低,初回調査,,自治体,
capture-004,捕獲駆除,箱罠,箱罠・片扉・ヒグマ用【66057】,デーリィマン社,https://dairyman-ec.com/i/66057,要問合せ,北海道酪農向け箱罠,北海道酪農向け,酪農家・自治体,狩猟免許必須,https://kuma-watch.jp/articles/culling-debate,低,初回調査,,自治体,
capture-005,捕獲駆除,箱罠,大型獣用箱罠,株式会社ミフジ,https://www.mifuji2919.co.jp/boxtrap,要問合せ,クマ・大型獣捕獲,鉄筋6mm、扉タイプ変更可,猟友会・自治体,狩猟免許必須,https://kuma-watch.jp/articles/culling-debate,低,初回調査,,自治体,
capture-006,捕獲駆除,止め刺し,肩掛けショッカー,デーリィマン社,https://dairyman-ec.com/,"約66,000円",電気ショック式止め刺し,電気ショック式,猟友会・自治体,専門用途,https://kuma-watch.jp/articles/culling-debate,低,初回調査,,自治体,
capture-007,捕獲駆除,麻酔銃,麻酔銃／塩酸ケタミン,麻薬研究者資格保有獣医師,https://www.iplant-j.jp/journal/vol-1_no-12/wildlife-damage-control_difficulty_part2/,—,生体捕獲用,法的制約：鳥獣保護管理法38条で住居集合地域での発砲禁止。クマへの市街地麻酔銃猟は許可下りない,—,法的制約大、市街地は不可,https://kuma-watch.jp/articles/bear-laws,低,初回調査,法的論点として記事に反映済み,自治体,
capture-008,捕獲駆除,駆除サービス,地域猟友会＋警察＋自治体（緊急銃猟制度含む）,各地域猟友会,https://www.j-hunters.com/,—,クマ駆除三者連携,クマは法令上、地域猟友会＋警察＋自治体が対応する三者連携が基本。2025年9月1日施行の緊急銃猟制度で市街地での迅速駆除が可能に,自治体,,https://kuma-watch.jp/articles/culling-debate,低,初回調査,2025年9月制度改正反映,自治体,
capture-009,捕獲駆除,駆除サービス,ALSOK鳥獣対策,ALSOK,https://www.alsok.co.jp/corporate/choju_taisaku/,要問合せ,法人向け鳥獣対策,千葉県でジビエ加工施設運営。クマは直接公表対象外、イノシシ・シカ中心,自治体・法人,,https://kuma-watch.jp/articles/culling-debate,低,初回調査,,自治体,
capture-010,捕獲駆除,駆除サービス,東京海上日動 クマ駆除時保険,東京海上日動火災保険,https://www.tokiomarine-nichido.co.jp/,法人向け,クマ駆除時の物損・人的トラブル補償,2025年7月16日発表、自治体・猟友会向けに駆除時の流れ弾物損リスクをカバー,自治体・猟友会,2025年新サービス,https://kuma-watch.jp/articles/bear-laws,中,初回調査,自治体導入後押し材料,自治体,
gear-001,個人装備,ヘルメット,Protos® Integral Forest,Pfanner／ファナージャパン,https://pfanner-japan.com/,"30,000〜40,000円",林業用統合ヘルメット,バイザー・イヤマフ一体、BT-COM通信オプション、日本人向け改良版あり,林業・農林業,林業従事者向け,https://kuma-watch.jp/articles/forest-work,中,初回調査,,個人,
gear-002,個人装備,ヘルメット,フォレストヘルメット ファンクショナル 576412401,Husqvarna,https://www.husqvarna.com/jp/,"20,000〜30,000円",林業用ヘルメット,JIS規格、林業用、チェーンソー作業兼用,林業,,https://kuma-watch.jp/articles/forest-work,中,初回調査,,個人,
gear-003,個人装備,防護手袋,チェーンソー保護手袋 MT-C,Pfanner,https://pfanner-japan.com/,"7,000〜10,000円",林業用手袋,ISO 11393-4 クラス1、ヤギ革,林業,,https://kuma-watch.jp/articles/forest-work,低,初回調査,,個人,
gear-004,個人装備,安全靴,V9830C,Pfanner,https://pfanner-japan.com/,"20,000〜30,000円",林業用安全靴,日本人向け、鋼製先芯・甲防護板,林業,,https://kuma-watch.jp/articles/forest-work,低,初回調査,,個人,
gear-005,個人装備,防護パンツ,チェーンソープロテクションパンツ,Pfanner、Husqvarna他,https://forest-journal.jp/tools/45026/,"20,000〜50,000円",切創対策,切創対策、ISO規格,林業,,https://kuma-watch.jp/articles/forest-work,低,初回調査,,個人,
gear-006,個人装備,GPS発信機,Garmin inReach Mini 2 / Messenger,Garmin,https://www.garmin.co.jp/,4〜6万円,衛星通信SOS発信,衛星通信、SOS発信、登山者向け（クマ専用品ではない）,個人（登山）,通信契約必要,https://kuma-watch.jp/articles/first-aid,中,初回調査,単独行のリスク管理,個人,
gear-007,個人装備,応急処置,クマ被害用救急セット,モンベル、好日山荘、Amazon取扱,https://www.montbell.com/,"5,000〜2万円",止血・救急,止血用品・ガーゼ・滅菌セット,個人,使用前要訓練,https://kuma-watch.jp/articles/first-aid,中,初回調査,,個人,
info-001,情報教育,財団・NPO,公益財団法人 知床財団,知床財団,https://brownbear.shiretoko.or.jp/shiretoko/,会員・寄付,ヒグマ対策啓発・研修,ヒグマ対処法マニュアル、知床ネイチャーキャンパス、スプレー／フードコンテナレンタル、Instagram @bear_safety_shiretoko,個人・自治体,,https://kuma-watch.jp/articles/hokkaido-bears,中,初回調査,北海道の権威。コンテンツ協業候補,"個人,自治体",
info-002,情報教育,研究ネットワーク,日本クマネットワーク（JBN）,日本クマネットワーク,http://www.japanbear.org/,会員制,クマ研究者ネットワーク,クマ研究者ネットワーク、学会・研究情報,研究者・自治体,,https://kuma-watch.jp/articles/why-increasing,中,初回調査,研究監修・専門家紹介の経路,"個人,自治体",
info-003,情報教育,NPO,日本熊森協会,日本熊森協会,https://kumamori.org/,会員・寄付,共生啓発,共生啓発、書籍、署名活動,個人,,https://kuma-watch.jp/articles/culling-debate,低,初回調査,駆除議論記事で言及候補,"個人,自治体",
info-004,情報教育,研究会,信州ツキノワグマ研究会,信州ツキノワグマ研究会,http://shintsuma.web.fc2.com/,会員制,地域研究,長野県中心の研究・啓発,研究者・住民,,https://kuma-watch.jp/articles/chubu-bears,低,初回調査,,"個人,自治体",
info-005,情報教育,行政機関,環境省 鳥獣保護管理室,環境省,https://www.env.go.jp/nature/choju/,無料,法令・統計データソース,「クマ類の出没対応マニュアル」、市街地出没対応指針、麻酔銃使用ガイドライン,自治体・研究者,,https://kuma-watch.jp/articles/bear-laws,中,両方,一次データソース,"個人,自治体",
info-006,情報教育,コンサルティング,株式会社野生動物保護管理事務所,野生動物保護管理事務所,https://wmo.co.jp/,法人向け,自治体向けコンサルティング,自治体向け野生動物管理コンサルティング,自治体,,https://kuma-watch.jp/for-gov,中,初回調査,自治体向け事業の競合・パートナー候補,自治体,
info-007,情報教育,専門家,東京農業大学 山﨑晃司教授,東京農業大学,https://www.nodai.ac.jp/,—,クマ研究第一人者,クマ研究第一人者、各種講演・監修,—,,https://kuma-watch.jp/articles/why-increasing,中,初回調査,監修・取材依頼候補,"個人,自治体",
info-008,情報教育,専門家,酪農学園大学 佐藤喜和教授,酪農学園大学,https://www.rakuno.ac.jp/,—,ヒグマ研究第一人者,熊一目散の共同開発、ヒグマ研究の第一人者、各種講演・監修,—,,https://kuma-watch.jp/articles/hokkaido-bears,中,初回調査,北海道のヒグマ研究で連携候補,"個人,自治体",
info-009,情報教育,専門家,上智大学 深澤佑介准教授,上智大学,https://www.sophia.ac.jp/,—,AIクマ遭遇予測研究,元NTTドコモ。クマ遭遇AI予測マップ開発者、機械学習×時空間データ解析の専門家,—,,https://kuma-watch.jp/articles/why-increasing,中,初回調査,テック寄り監修・データ協業候補,"個人,自治体",
info-010,情報教育,書籍・資料,クマ類の生息状況、被害状況等について,環境省,https://www.env.go.jp/nature/choju/effort/effort12/r07injury-qe.pdf,無料PDF,統計データ,令和7年度（2025年度）速報：216件・238人被害・死亡13人（過去最多）,—,,https://kuma-watch.jp/articles/why-increasing,—,初回調査,統計データソース,"個人,自治体",
info-011,情報教育,書籍・資料,福岡大ワンゲル部ヒグマ襲撃事件報告書,福岡大学ワンダーフォーゲル部,https://ja.wikipedia.org/wiki/%E7%86%8A%E5%AE%B3_(1980%E5%B9%B4%E5%BA%A6%E4%BB%A5%E9%99%8D%E3%81%AE%E6%97%A5%E6%9C%AC),—,歴史的事件記録,日本最大級のヒグマ事件記録、登山者必読,個人（登山）,,https://kuma-watch.jp/articles/historic-incidents,—,初回調査,事件解説記事の参考文献,"個人,自治体",
